label	3_sqrt	3_half	3_quarter	3_tenth	q3_uarter
d1_ic10/three_prots_allBins	329.0	329.0		342.0	329.0
d1_ic10/three_prots_bin1	7.0	7.0		7.0	7.0
d1_ic10/three_prots_bin2	20.0	20.0		22.0	20.0
d1_ic10/three_prots_bin3	63.0	63.0		71.0	63.0
d1_ic10/three_prots_bin4	132.0	132.0		135.0	132.0
d1_ic10/three_prots_bin5	107.0	107.0		107.0	107.0
d1_ic100/three_prots_allBins	311.0	311.0		321.0	312.0
d1_ic100/three_prots_bin1	4.0	4.0		4.0	4.0
d1_ic100/three_prots_bin2	9.0	9.0		10.0	10.0
d1_ic100/three_prots_bin3	64.0	64.0		68.0	64.0
d1_ic100/three_prots_bin4	121.0	121.0		126.0	121.0
d1_ic100/three_prots_bin5	113.0	113.0		113.0	113.0
d1_ic3/three_prots_allBins	314.0	314.0		326.0	314.0
d1_ic3/three_prots_bin1	1.0	1.0		1.0	1.0
d1_ic3/three_prots_bin2	15.0	15.0		17.0	15.0
d1_ic3/three_prots_bin3	68.0	68.0		73.0	68.0
d1_ic3/three_prots_bin4	123.0	123.0		128.0	123.0
d1_ic3/three_prots_bin5	107.0	107.0		107.0	107.0
d1_ic50/three_prots_allBins	319.0	319.0		329.0	319.0
d1_ic50/three_prots_bin1	5.0	5.0		5.0	5.0
d1_ic50/three_prots_bin2	11.0	11.0		12.0	11.0
d1_ic50/three_prots_bin3	76.0	76.0		85.0	76.0
d1_ic50/three_prots_bin4	118.0	118.0		118.0	118.0
d1_ic50/three_prots_bin5	109.0	109.0		109.0	109.0
d2_ic10/three_prots_allBins	229.0	228.0		233.0	227.0
d2_ic10/three_prots_bin1	3.0	3.0		2.0	2.0
d2_ic10/three_prots_bin2	15.0	15.0		17.0	15.0
d2_ic10/three_prots_bin3	48.0	47.0		51.0	47.0
d2_ic10/three_prots_bin4	90.0	90.0		90.0	90.0
d2_ic10/three_prots_bin5	73.0	73.0		73.0	73.0
d2_ic100/three_prots_allBins	209.0	210.0		216.0	210.0
d2_ic100/three_prots_bin2	2.0	3.0		3.0	3.0
d2_ic100/three_prots_bin3	33.0	33.0		39.0	33.0
d2_ic100/three_prots_bin4	94.0	94.0		94.0	94.0
d2_ic100/three_prots_bin5	80.0	80.0		80.0	80.0
d2_ic3/three_prots_allBins	232.0	231.0		239.0	231.0
d2_ic3/three_prots_bin1	4.0	4.0		4.0	4.0
d2_ic3/three_prots_bin2	15.0	14.0		17.0	14.0
d2_ic3/three_prots_bin3	47.0	47.0		51.0	47.0
d2_ic3/three_prots_bin4	92.0	92.0		93.0	92.0
d2_ic3/three_prots_bin5	74.0	74.0		74.0	74.0
d2_ic50/three_prots_allBins	224.0	224.0		224.0	223.0
d2_ic50/three_prots_bin1	3.0	3.0		2.0	2.0
d2_ic50/three_prots_bin2	7.0	7.0		8.0	7.0
d2_ic50/three_prots_bin3	33.0	33.0		33.0	33.0
d2_ic50/three_prots_bin4	106.0	106.0		106.0	106.0
d2_ic50/three_prots_bin5	75.0	75.0		75.0	75.0
d3_ic10/three_prots_allBins	85.0	85.0		90.0	85.0
d3_ic10/three_prots_bin1	1.0	1.0		1.0	1.0
d3_ic10/three_prots_bin2	5.0	5.0		6.0	5.0
d3_ic10/three_prots_bin3	19.0	19.0		20.0	19.0
d3_ic10/three_prots_bin4	30.0	30.0		31.0	30.0
d3_ic10/three_prots_bin5	30.0	30.0		32.0	30.0
d3_ic100/three_prots_allBins	106.0	105.0		108.0	107.0
d3_ic100/three_prots_bin1	12.0	12.0		14.0	14.0
d3_ic100/three_prots_bin2	12.0	12.0		14.0	12.0
d3_ic100/three_prots_bin3	22.0	22.0		21.0	22.0
d3_ic100/three_prots_bin4	27.0	26.0		26.0	26.0
d3_ic100/three_prots_bin5	33.0	33.0		33.0	33.0
d3_ic3/three_prots_allBins	88.0	88.0		89.0	88.0
d3_ic3/three_prots_bin1	3.0	3.0		3.0	3.0
d3_ic3/three_prots_bin2	4.0	4.0		5.0	4.0
d3_ic3/three_prots_bin3	20.0	20.0		21.0	20.0
d3_ic3/three_prots_bin4	30.0	30.0		30.0	30.0
d3_ic3/three_prots_bin5	31.0	31.0		30.0	31.0
d3_ic50/three_prots_allBins	89.0	89.0		91.0	89.0
d3_ic50/three_prots_bin1	1.0	1.0		1.0	1.0
d3_ic50/three_prots_bin2	6.0	6.0		6.0	6.0
d3_ic50/three_prots_bin3	20.0	20.0		20.0	20.0
d3_ic50/three_prots_bin4	31.0	31.0		32.0	31.0
d3_ic50/three_prots_bin5	31.0	31.0		32.0	31.0
